code,value
000835.SZ,35.93
000836.SZ,26.15
000837.SZ,38.47
000838.SZ,63.6
000839.SZ,39.91
000848.SZ,58.09
000850.SZ,50.83
000851.SZ,20.66
000852.SZ,63.93
000856.SZ,33.4
000858.SZ,69.59
000859.SZ,31.86
000860.SZ,56.24
000861.SZ,61.71
000862.SZ,43.03
000863.SZ,63.57
000868.SZ,44.64
000869.SZ,62.57
000875.SZ,35.3
000876.SZ,68.55
000877.SZ,54.97
000878.SZ,56.89
000880.SZ,62.36
000881.SZ,61.84
000882.SZ,48.41
000883.SZ,85.81
000885.SZ,69.27
000886.SZ,30.65
000887.SZ,58.1
000888.SZ,48.65
000889.SZ,73.76
000890.SZ,40.79
000892.SZ,48.01
000893.SZ,67.4
000895.SZ,81.17
000897.SZ,34.52
000898.SZ,85.14
000899.SZ,75.55
000900.SZ,46.08
000901.SZ,42.52
000902.SZ,63.38
000903.SZ,44.23
000905.SZ,57.5
000906.SZ,60.78
000908.SZ,48.77
000909.SZ,50.51
000910.SZ,58.72
000911.SZ,50.49
000912.SZ,65.79
000913.SZ,57.92
000915.SZ,40.11
000917.SZ,24.15
000918.SZ,70.97
000919.SZ,61.36
000920.SZ,52.47
000921.SZ,83.83
000922.SZ,46.87
000923.SZ,79.42
000925.SZ,33.73
000926.SZ,36.62
000927.SZ,68.67
000928.SZ,62.48
000929.SZ,41.97
000930.SZ,60.73
000931.SZ,44.47
000932.SZ,67.22
000933.SZ,48.76
000935.SZ,70.6
000936.SZ,45.35
000937.SZ,75.6
000938.SZ,75.43
000939.SZ,62.72
000948.SZ,41.92
000949.SZ,59.02
000950.SZ,81.23
000951.SZ,77.48
000952.SZ,30.92
000953.SZ,49
000955.SZ,28.24
000957.SZ,45.76
000958.SZ,41.28
000959.SZ,88.28
000960.SZ,54.18
000961.SZ,61.98
000962.SZ,52.38
000963.SZ,66.64
000965.SZ,55.85
000966.SZ,54.93
000967.SZ,77.78
000968.SZ,75.79
000969.SZ,48.39
000970.SZ,37.37
000971.SZ,54.43
000972.SZ,49.86
000973.SZ,29.27
000975.SZ,60.26
000976.SZ,58.36
000977.SZ,44.89
000978.SZ,40.6
000980.SZ,64.38
000981.SZ,80.08
000982.SZ,66.02
000983.SZ,64.34
000985.SZ,68.83
000987.SZ,86.01
000988.SZ,37.91
000989.SZ,66.38
000990.SZ,81.25
000993.SZ,64.61
000995.SZ,51.13
000996.SZ,24.03
000997.SZ,40.92
000998.SZ,42.74
000999.SZ,85.47
001696.SZ,45.08
001872.SZ,90.66
001896.SZ,66.42
001914.SZ,74.55
001965.SZ,94.92
001979.SZ,80.49
002001.SZ,58.94
002002.SZ,57.56
002003.SZ,53.21
002004.SZ,43.77
002005.SZ,45.38
002006.SZ,46.99
002007.SZ,62.8
002008.SZ,42.06
002009.SZ,38.2
002010.SZ,76.68
002011.SZ,47.86
002012.SZ,25.25
002013.SZ,63.23
002014.SZ,70.69
002015.SZ,80.84
002016.SZ,76.79
002017.SZ,47.26
002019.SZ,50.82
002020.SZ,44.9
002021.SZ,47.11
002022.SZ,33.57
002023.SZ,31.35
002024.SZ,71.96
002025.SZ,57.81
002026.SZ,50.46
002027.SZ,45.95
002028.SZ,60.15
002029.SZ,47.69
002030.SZ,43.69
002031.SZ,32.3
002032.SZ,92.66
002033.SZ,49.94
002034.SZ,72.14
002035.SZ,40.42
002036.SZ,36.39
002037.SZ,59.62
002038.SZ,49.64
002039.SZ,45.03
002040.SZ,69.92
002041.SZ,67.72
002042.SZ,64.52
002043.SZ,49.6
002044.SZ,45.03
002045.SZ,38.14
002046.SZ,65.37
002047.SZ,50.53
002048.SZ,45.45
002049.SZ,46.23
002050.SZ,68.1
002051.SZ,67.38
002052.SZ,30.93
002053.SZ,82.47
002054.SZ,53.88
002055.SZ,46.6
002056.SZ,62.12
002057.SZ,44.74
002058.SZ,56.06
002059.SZ,74.24
002060.SZ,39.74
002061.SZ,75.9
002062.SZ,65.4
002063.SZ,35.41
002064.SZ,79.55
002065.SZ,50.39
002066.SZ,45.27
002067.SZ,20.79
002068.SZ,57.43
002069.SZ,59.54
002071.SZ,50.19
002072.SZ,30.39
002073.SZ,30.73
002074.SZ,48.42
002075.SZ,51.41
002076.SZ,47.09
002077.SZ,61.49
002078.SZ,60.87
002079.SZ,41.89
002080.SZ,71.63
002081.SZ,59.53
002082.SZ,36.91
002083.SZ,42.12
002084.SZ,57.91
002085.SZ,72.81
002086.SZ,48.56
002087.SZ,33.97
002088.SZ,54.31
002089.SZ,41.54
002090.SZ,46.46
002091.SZ,57.44
002092.SZ,45.54
002093.SZ,60.53
002094.SZ,45.26
002095.SZ,56.78
002096.SZ,70.54
002097.SZ,45.84
002098.SZ,63.99
002099.SZ,49.38
002100.SZ,55.17
002101.SZ,63.35
002102.SZ,46.75
002103.SZ,54.71
002104.SZ,27.3
002105.SZ,52.84
002106.SZ,34.68
002107.SZ,57.83
002108.SZ,40.47
002109.SZ,71.21
002110.SZ,66.56
002111.SZ,52.97
002112.SZ,41.72
002113.SZ,53.21
002114.SZ,59.16
002115.SZ,38.22
002116.SZ,67.31
002117.SZ,44.08
002118.SZ,56.45
002119.SZ,43.46
002120.SZ,77.88
002121.SZ,57.11
002122.SZ,56.14
002123.SZ,39.7
002124.SZ,44.88
002125.SZ,58.07
002126.SZ,38.99
002127.SZ,46.92
002128.SZ,72.96
002129.SZ,45.08
002130.SZ,39.02
002131.SZ,35.52
002132.SZ,46.09
002133.SZ,38.24
002134.SZ,54.1
002135.SZ,60.96
002136.SZ,45.55
002137.SZ,55.15
002138.SZ,35.78
002139.SZ,34.91
002140.SZ,66.44
002141.SZ,60.76
002142.SZ,67.12
002144.SZ,37.9
002145.SZ,46.95
002146.SZ,69.24
002147.SZ,79.86
002148.SZ,30.03
002149.SZ,46.31
002150.SZ,62.36
002151.SZ,47.9
002152.SZ,62.08
002153.SZ,81.52
002154.SZ,34.86
002155.SZ,49.24
002156.SZ,61.74
002157.SZ,52.39
002158.SZ,64.13
002159.SZ,49.34
002160.SZ,51.35
002161.SZ,31.82
002162.SZ,59.15
002163.SZ,36.03
002164.SZ,62.06
002165.SZ,46.97
002166.SZ,50.81
002167.SZ,35.73
002168.SZ,39.97
002169.SZ,31.7
002170.SZ,44.06
002171.SZ,56.57
002172.SZ,53.32
002173.SZ,60.98
002174.SZ,48.2
002175.SZ,30.65
002176.SZ,32.31
002177.SZ,22.32
002178.SZ,43.41
002179.SZ,64.03
002180.SZ,68.03
002181.SZ,70.74
002182.SZ,41.58
002183.SZ,41.58
002184.SZ,55.31
002185.SZ,33.43
002186.SZ,54.73
002187.SZ,66.7
002188.SZ,48.94
002189.SZ,59.41
002190.SZ,57.54
002191.SZ,51.4
002192.SZ,34.92
002193.SZ,61.9
002194.SZ,67.53
002195.SZ,28.34
002196.SZ,42.63
002197.SZ,36.39
002198.SZ,33.9
002199.SZ,48.66
002200.SZ,53.86
002201.SZ,51.45
002202.SZ,64.4
002203.SZ,72.68
002204.SZ,72.5
002205.SZ,43.1
002206.SZ,52.39
002207.SZ,40.37
002208.SZ,61.01
002209.SZ,52.51
002210.SZ,69.6
002211.SZ,44.68
002212.SZ,47.6
002213.SZ,44.83
002214.SZ,36.59
002215.SZ,56.02
002216.SZ,71.74
002217.SZ,49.08
002218.SZ,46.63
002219.SZ,62.95
002221.SZ,55.05
002222.SZ,29.74
002223.SZ,59.03
002224.SZ,40.78
002225.SZ,49.2
002226.SZ,63.71
002227.SZ,67.56
002228.SZ,55.32
002229.SZ,35.48
002230.SZ,33.03
002231.SZ,50.81
002232.SZ,59.25
002233.SZ,54.18
002234.SZ,49.16
002235.SZ,28.23
002236.SZ,56.93
002237.SZ,53.57
002238.SZ,75.58
002239.SZ,65.39
002240.SZ,50.28
002241.SZ,47.33
002242.SZ,79.63
002243.SZ,84.79
002244.SZ,73.93
002245.SZ,42.04
002246.SZ,62.24
002247.SZ,49.36
002248.SZ,33.16
002249.SZ,52.88
002250.SZ,43.97
002251.SZ,69.49
002252.SZ,73.34
002253.SZ,35.31
002254.SZ,46.14
002255.SZ,40.96
002256.SZ,54.63
002258.SZ,61.29
002259.SZ,35.97
002260.SZ,35.34
002261.SZ,39.27
002262.SZ,57.01
002263.SZ,32.38
002264.SZ,64.39
002265.SZ,63.38
002266.SZ,33.76
002267.SZ,68.83
002268.SZ,52.7
002269.SZ,75.23
002270.SZ,57.8
002271.SZ,52.87
002272.SZ,41.41
002273.SZ,31.89
002274.SZ,48.93
002275.SZ,78.67
002276.SZ,41.8
002277.SZ,44.34
002278.SZ,47.81
002279.SZ,45.52
002280.SZ,45.41
002281.SZ,54.37
002282.SZ,62.21
002283.SZ,39.8
002284.SZ,50.45
002285.SZ,63.18
002286.SZ,52.83
002287.SZ,91.09
002288.SZ,40.95
002289.SZ,48.13
002290.SZ,67.5
002291.SZ,60.7
002292.SZ,65.28
002293.SZ,64.15
002294.SZ,73.97
002295.SZ,52.93
002296.SZ,25.24
002297.SZ,42.86
002298.SZ,43.31
002299.SZ,68.2
002300.SZ,64.3
002301.SZ,61.66
002302.SZ,66.33
002303.SZ,62.3
002304.SZ,80.9
002305.SZ,60.96
002306.SZ,30.8
002307.SZ,49.69
002308.SZ,42.58
002309.SZ,61.9
002310.SZ,55.66
002311.SZ,68.85
002312.SZ,37.04
002313.SZ,51.02
002314.SZ,76.24
002315.SZ,64.35
002316.SZ,46.89
002317.SZ,38.9
002318.SZ,51.01
002319.SZ,38.94
002320.SZ,76.05
002321.SZ,37.89
002322.SZ,52.69
002323.SZ,77.43
002324.SZ,65.78
002325.SZ,45.64
002326.SZ,45.33
002327.SZ,63.37
002328.SZ,43.9
002329.SZ,48.07
002330.SZ,70.39
002331.SZ,44.19
002332.SZ,35.85
002333.SZ,73.52
002334.SZ,32.95
002335.SZ,63.27
002336.SZ,78.8
002337.SZ,38.31
002338.SZ,57.04
002339.SZ,40.89
002340.SZ,28.52
002341.SZ,45.95
002342.SZ,38.59
002343.SZ,49.8
002344.SZ,60.76
002345.SZ,56.12
002346.SZ,82.53
002347.SZ,44
002348.SZ,53.5
002349.SZ,71.03
002350.SZ,54.44
002351.SZ,67.15
002352.SZ,85.15
002353.SZ,63.56
002354.SZ,44.69
002355.SZ,48.47
002356.SZ,67.23
002357.SZ,51.71
002358.SZ,58.74
002359.SZ,62.66
002360.SZ,39.18
002361.SZ,42.77
002362.SZ,39.37
002363.SZ,50.48
002364.SZ,55.05
002365.SZ,32.7
002366.SZ,55.19
002367.SZ,55.55
002368.SZ,48.9
002369.SZ,31.81
002370.SZ,53.41
002371.SZ,66.51
002372.SZ,74.27
002373.SZ,55.28
002374.SZ,43.37
002375.SZ,59.58
002376.SZ,45.24
002377.SZ,69.01
002378.SZ,67.02
002379.SZ,38.85
002380.SZ,61.47
002381.SZ,51.74
002382.SZ,73.68
002383.SZ,49.85
002384.SZ,44.91
002385.SZ,50.86
002386.SZ,48.9
002387.SZ,75.62
002388.SZ,65.39
002389.SZ,58.8
002390.SZ,49.75
002391.SZ,61.95
002392.SZ,43.01
002393.SZ,56.93
002394.SZ,51.55
002395.SZ,77.67
002396.SZ,45.6
002397.SZ,69.53
002398.SZ,38.3
002399.SZ,81.71
002400.SZ,32.55
002401.SZ,58.64
002402.SZ,32.06
002403.SZ,63.95
002404.SZ,52.06
002405.SZ,35.56
002406.SZ,42.76
002407.SZ,24.06
002408.SZ,67.27
002409.SZ,69.34
002410.SZ,53.79
002411.SZ,70.11
002412.SZ,62.61
002413.SZ,39.2
002414.SZ,75.97
002415.SZ,71.41
002416.SZ,70.87
002417.SZ,37.54
002418.SZ,53.35
002419.SZ,80.4
002420.SZ,37.61
002421.SZ,39.78
002422.SZ,48.04
002423.SZ,93.54
002424.SZ,73.31
002425.SZ,36.55
002426.SZ,46.98
002427.SZ,69.97
002428.SZ,31.49
002429.SZ,70.61
002430.SZ,74.2
002431.SZ,41.36
002432.SZ,37.8
002433.SZ,39.82
002434.SZ,70.61
002435.SZ,74.56
002436.SZ,44.95
002437.SZ,56.45
002438.SZ,55.6
002439.SZ,48.93
002440.SZ,54.15
002441.SZ,60.03
002442.SZ,51.8
002443.SZ,33.49
002444.SZ,58.82
002445.SZ,54.66
002446.SZ,35.73
002447.SZ,29.64
002448.SZ,29.02
002449.SZ,30.41
002450.SZ,42.24
002451.SZ,64.26
002452.SZ,41.12
002453.SZ,37.27
002454.SZ,53.55
002455.SZ,45.19
002456.SZ,36.99
002457.SZ,38.59
002458.SZ,53.93
002459.SZ,81.97
002460.SZ,49.7
002461.SZ,88.46
002462.SZ,46.23
002463.SZ,46.43
002464.SZ,45.53
002465.SZ,42.55
002466.SZ,50.84
002467.SZ,28.36
002468.SZ,72.58
002469.SZ,34.51
002470.SZ,59.14
002471.SZ,39.75
002472.SZ,48.17
002473.SZ,62.39
002474.SZ,34.87
002475.SZ,56.63
002476.SZ,28.47
002478.SZ,57.58
002479.SZ,50.95
002480.SZ,38.97
002481.SZ,55.67
002482.SZ,72.88
002483.SZ,58.83
002484.SZ,51.9
002485.SZ,75.5
002486.SZ,29.56
002487.SZ,58.24
002488.SZ,46.6
002489.SZ,64.14
002490.SZ,70.82
002491.SZ,49.18
002492.SZ,51.09
002493.SZ,83.85
002494.SZ,38.28
002495.SZ,47.32
002496.SZ,52.14
002497.SZ,26.94
002498.SZ,70.91
002499.SZ,52.47
002500.SZ,54.65
002501.SZ,37.02
002502.SZ,44.75
002503.SZ,66.27
002504.SZ,63.9
002505.SZ,64.18
002506.SZ,56.82
002507.SZ,57.3
002508.SZ,71.03
002510.SZ,24.98
002511.SZ,64.75
002512.SZ,58.25
002513.SZ,64.71
002514.SZ,54.19
002515.SZ,56.8
002516.SZ,59.14
002517.SZ,53.37
002518.SZ,71.87
002519.SZ,48.08
002520.SZ,72.3
002521.SZ,32.07
002522.SZ,55.67
002523.SZ,46.08
002524.SZ,36.46
002526.SZ,33.29
002527.SZ,50.18
002528.SZ,67.56
002529.SZ,50.03
002530.SZ,69.53
002531.SZ,62.04
002532.SZ,62.36
002533.SZ,37.92
002534.SZ,79.83
002535.SZ,43.11
002536.SZ,50
002537.SZ,65.17
002538.SZ,45.77
002539.SZ,62.58
002540.SZ,63.01
002541.SZ,61.25
002542.SZ,65.71
002543.SZ,80.81
002544.SZ,51.09
002545.SZ,83.49
002546.SZ,53.46
002547.SZ,43.18
002548.SZ,49.05
002549.SZ,73.94
002550.SZ,42.23
002551.SZ,56.8
002552.SZ,73.67
002553.SZ,54.22
002554.SZ,38.4
002555.SZ,60.51
002556.SZ,47.86
002557.SZ,69.17
002558.SZ,80.15
002559.SZ,33.8
002560.SZ,53.89
002561.SZ,52.4
002562.SZ,55.28
002563.SZ,81.17
002564.SZ,46.51
002565.SZ,44.43
002566.SZ,49.35
002567.SZ,51.35
002568.SZ,68.32
002569.SZ,52.75
002570.SZ,59.44
002571.SZ,56.32
002572.SZ,65.67
002573.SZ,56.32
002574.SZ,55.65
002575.SZ,44.45
002576.SZ,44.3
002577.SZ,63.02
002578.SZ,62.86
002579.SZ,59.82
002580.SZ,24.11
002581.SZ,59.32
002582.SZ,53.88
002583.SZ,66.15
002584.SZ,51.41
002585.SZ,48.93
002586.SZ,63.98
002587.SZ,50.66
002588.SZ,66.1
002589.SZ,49.37
002590.SZ,61.24
002591.SZ,56.01
002592.SZ,57.66
002593.SZ,60.18
002594.SZ,78.08
002595.SZ,66.83
002596.SZ,52.08
002597.SZ,56.05
002598.SZ,49.95
002599.SZ,59.02
002600.SZ,76.46
002601.SZ,68.3
002602.SZ,54.96
002603.SZ,65.33
002605.SZ,69.62
002606.SZ,39.88
002607.SZ,88.51
002608.SZ,92.57
002609.SZ,64.32
002610.SZ,25.67
002611.SZ,56.29
002612.SZ,71.14
002613.SZ,65.08
002614.SZ,62.17
002615.SZ,66.69
002616.SZ,71.81
002617.SZ,58.94
002618.SZ,41.69
002619.SZ,48.96
002620.SZ,53.42
002621.SZ,66.18
002622.SZ,34.7
002623.SZ,59.94
002624.SZ,67.09
002625.SZ,83.63
002626.SZ,75.32
002627.SZ,50.25
002628.SZ,42.57
002629.SZ,25.14
002630.SZ,27.47
002631.SZ,65.7
002632.SZ,63
002633.SZ,62.4
002634.SZ,59.72
002635.SZ,62.01
002636.SZ,70.86
002637.SZ,50.75
002638.SZ,54.54
002639.SZ,36.59
002640.SZ,52.14
002641.SZ,72.48
002642.SZ,44.34
002643.SZ,53.81
002644.SZ,64.31
002645.SZ,73.73
002646.SZ,70.96
002647.SZ,68.2
002648.SZ,67.17
002649.SZ,32.38
002650.SZ,45.74
002651.SZ,79.96
002652.SZ,68.58
002653.SZ,86.68
002654.SZ,52.77
002655.SZ,24.66
002656.SZ,58.39
002657.SZ,31.17
002658.SZ,69.61
002659.SZ,51.49
002660.SZ,43
002661.SZ,54.98
002662.SZ,70.3
002663.SZ,42.96
002664.SZ,61.13
002665.SZ,46.28
002666.SZ,56.96
002667.SZ,56.25
002668.SZ,43.78
002669.SZ,41.12
002670.SZ,78.79
002671.SZ,38
002672.SZ,64.23
002673.SZ,62.25
002674.SZ,72.68
002675.SZ,44.68
002676.SZ,64.93
002677.SZ,73.16
002678.SZ,86.47
002679.SZ,74.93
002681.SZ,59.46
002682.SZ,49.45
002683.SZ,50.76
002684.SZ,62.26
002685.SZ,64.06
002686.SZ,65.23
002687.SZ,47.89
002688.SZ,53.21
002689.SZ,65.47
002690.SZ,78.88
002691.SZ,75.45
002692.SZ,60.97
002693.SZ,55.2
002694.SZ,43.03
002695.SZ,67.61
002696.SZ,54.24
002697.SZ,72.64
002698.SZ,63.4
002699.SZ,70.99
002700.SZ,64.12
002701.SZ,54
002702.SZ,48.01
002703.SZ,75.41
002705.SZ,79.67
002706.SZ,48.04
002707.SZ,57.91
002708.SZ,64.67
002709.SZ,63.36
002711.SZ,57.96
002712.SZ,65.07
002713.SZ,77.05
002714.SZ,70.5
002715.SZ,52.4
002716.SZ,40.36
002717.SZ,52.61
002718.SZ,77.18
002719.SZ,61.57
002721.SZ,55
002722.SZ,55.8
002723.SZ,67.59
002724.SZ,80.83
002725.SZ,59.34
002726.SZ,70.74
002727.SZ,74.42
002728.SZ,67.49
002729.SZ,73.31
002730.SZ,68.24
002731.SZ,57.74
002732.SZ,64.25
002733.SZ,54.06
002734.SZ,52.29
002735.SZ,67.85
002736.SZ,85.77
002737.SZ,68.77
002738.SZ,51.79
002739.SZ,64.87
002740.SZ,51.96
002741.SZ,66.16
002742.SZ,66.74
002743.SZ,54.44
002745.SZ,77.84
002746.SZ,61.04
002747.SZ,73.57
002748.SZ,72.17
002749.SZ,65.63
002750.SZ,70.39
002751.SZ,47.16
002752.SZ,84.66
002753.SZ,72.34
002755.SZ,84.45
002756.SZ,71.91
002757.SZ,66.93
002758.SZ,49.65
002759.SZ,76.3
002760.SZ,56.38
002761.SZ,69.57
002762.SZ,66.16
002763.SZ,68.94
002765.SZ,64.34
002766.SZ,61.16
002767.SZ,72.34
002768.SZ,72.68
002769.SZ,57.83
002770.SZ,59.63
002771.SZ,51.74
002772.SZ,47.39
002773.SZ,78.14
002774.SZ,73.57
002775.SZ,56.66
002776.SZ,56.75
002777.SZ,55.1
002778.SZ,57.84
002779.SZ,77.95
002780.SZ,51.87
002781.SZ,65.88
002782.SZ,72.83
002783.SZ,38.08
002785.SZ,55.06
002786.SZ,65.15
002787.SZ,63.07
002788.SZ,47.06
002789.SZ,57.46
002790.SZ,67.13
002791.SZ,71.02
002792.SZ,69.54
002793.SZ,66.57
002795.SZ,70.18
002796.SZ,56.78
002797.SZ,44.56
002798.SZ,68.24
002799.SZ,76.16
002800.SZ,54
002801.SZ,77.69
002802.SZ,72.94
002803.SZ,64.31
002805.SZ,55.08
002806.SZ,67.38
002807.SZ,34.95
002808.SZ,56.28
002809.SZ,59.73
002810.SZ,49.61
002811.SZ,75.51
002812.SZ,64.26
002813.SZ,72.53
002815.SZ,71.75
002816.SZ,49.44
002817.SZ,51.64
002818.SZ,82.67
002819.SZ,68.22
002820.SZ,68.96
002821.SZ,57.92
002822.SZ,50.76
002823.SZ,69.46
002824.SZ,72.36
002825.SZ,73.2
002826.SZ,61.17
002827.SZ,76.19
002828.SZ,40.04
002829.SZ,66.56
002830.SZ,73.42
002831.SZ,82.65
002832.SZ,73.13
002833.SZ,72.15
002835.SZ,69.56
